,h3_05,geometry,tamkeen_number_of_sites,tamkeen_distance_to_nearest_site_m
0,8552086bfffffff,"POLYGON ((45.89683087798644 17.292352620437818, 45.876500878299055 17.206137609448835, 45.940245261029055 17.151401721944445, 46.02425323820344 17.182785259418022, 46.0446611193384 17.26889256369952, 45.98098332517563 17.323724023650254, 45.89683087798644 17.292352620437818))",0.0,122005.54023038813
1,8552086ffffffff,"POLYGON ((46.0446611193384 17.26889256369952, 46.02425323820344 17.182785259418022, 46.087789720245475 17.128073354798026, 46.17166711180175 17.159373345007698, 46.19215219373513 17.245372599315992, 46.128682866360066 17.300179898648224, 46.0446611193384 17.26889256369952))",0.0,135663.78181523355
2,85520927fffffff,"POLYGON ((47.52739037542785 17.426392810476383, 47.506149030125435 17.34117517771592, 47.56780526346241 17.28639785785765, 47.65062996231531 17.316745233096658, 47.67194219457299 17.401851235707813, 47.61035902249621 17.45672146649335, 47.52739037542785 17.426392810476383))",0.0,175035.46238618568
3,8552092ffffffff,"POLYGON ((47.42318581563675 17.310746394009918, 47.40202272551509 17.225522222153135, 47.46375147640057 17.170838147049192, 47.5465709809501 17.201284973255657, 47.56780526346241 17.28639785785765, 47.506149030125435 17.34117517771592, 47.42318581563675 17.310746394009918))",0.0,169524.41071309062
4,8552094bfffffff,"POLYGON ((46.59045624071762 17.31497369975845, 46.569739020129056 17.229193978299893, 46.63258270191774 17.174463126011826, 46.716074417093594 17.20541744337241, 46.736866509875874 17.29108775467535, 46.67409219786597 17.345913139586283, 46.59045624071762 17.31497369975845))",0.0,194428.13951829952
5,8552094ffffffff,"POLYGON ((46.736866509875874 17.29108775467535, 46.716074417093594 17.20541744337241, 46.7787095024067 17.150713379837125, 46.86206695810505 17.18158526250723, 46.882933245117094 17.267145846267447, 46.82036806443064 17.32194425456739, 46.736866509875874 17.29108775467535))",0.0,209218.29209959492
6,8552096bfffffff,"POLYGON ((46.92449343963782 17.12690863319194, 46.90363252606769 17.041454575586577, 46.96592080932998 16.98690030625754, 47.04899978428492 17.017705787905886, 47.06993383794123 17.103049856891438, 47.00771595763068 17.15769841120211, 46.92449343963782 17.12690863319194))",0.0,191809.32079126313
7,85520a03fffffff,"POLYGON ((45.286749562166634 16.98461380849187, 45.266821792443665 16.898191123075577, 45.33117461840114 16.843698820045667, 45.415391689820375 16.875532385906762, 45.435399535840446 16.961849237239598, 45.371110416369135 17.016438348533942, 45.286749562166634 16.98461380849187))",0.0,45289.559713052135
8,85520a07fffffff,"POLYGON ((45.435399535840446 16.961849237239598, 45.415391689820375 16.875532385906762, 45.47953851321031 16.821062220814124, 45.563629069571775 16.852812256613355, 45.58371631539754 16.93902291062513, 45.51963378706945 16.993589716706605, 45.435399535840446 16.961849237239598))",0.0,59579.288009674165
9,85520a0bfffffff,"POLYGON ((45.18247898333607 16.86627372564783, 45.162632660956135 16.779855675605184, 45.227048617748146 16.72546046738684, 45.311247947762425 16.757386207122444, 45.33117461840114 16.843698820045667, 45.266821792443665 16.898191123075577, 45.18247898333607 16.86627372564783))",0.0,29472.350792248828
10,85520a0ffffffff,"POLYGON ((45.33117461840114 16.843698820045667, 45.311247947762425 16.757386207122444, 45.37545849325086 16.703012971616783, 45.459532168756674 16.73485541097803, 45.47953851321031 16.821062220814124, 45.415391689820375 16.875532385906762, 45.33117461840114 16.843698820045667))",0.0,45357.003831393784
11,85520a13fffffff,"POLYGON ((45.2421827019911 17.125756532592252, 45.22225395170573 17.0392245544128, 45.286749562166634 16.98461380849187, 45.371110416369135 17.016438348533942, 45.39111964778466 17.102864465698158, 45.326687726843 17.15757189579, 45.2421827019911 17.125756532592252))",0.0,51301.524293270086
12,85520a17fffffff,"POLYGON ((45.39111964778466 17.102864465698158, 45.371110416369135 17.016438348533942, 45.435399535840446 16.961849237239598, 45.51963378706945 16.993589716706605, 45.539722820343776 17.079909606511396, 45.47549798329766 17.134595234966717, 45.39111964778466 17.102864465698158))",0.0,62307.3800568237
13,85520a1bfffffff,"POLYGON ((45.13776727821318 17.007315648768802, 45.11792026198749 16.920787498356542, 45.18247898333607 16.86627372564783, 45.266821792443665 16.898191123075577, 45.286749562166634 16.98461380849187, 45.22225395170573 17.0392245544128, 45.13776727821318 17.007315648768802))",0.0,33326.48796322446
14,85520a23fffffff,"POLYGON ((45.62756979374722 16.798364893411954, 45.60748444920001 16.712264246807564, 45.671283871634984 16.65793693735921, 45.75510393597224 16.68961367143265, 45.77526760767164 16.77560780046315, 45.71153306891311 16.830031702158372, 45.62756979374722 16.798364893411954))",0.0,78089.08272912208
15,85520a27fffffff,"POLYGON ((45.77526760767164 16.77560780046315, 45.75510393597224 16.68961367143265, 45.81869766747581 16.635310306698983, 45.90238979745942 16.666904638773417, 45.92263112420632 16.752791901668964, 45.859102846708126 16.807191686615415, 45.77526760767164 16.77560780046315))",0.0,94566.27349385846
16,85520a2bfffffff,"POLYGON ((45.52353719930895 16.68050480982846, 45.50353247146029 16.594408808775537, 45.567396210281636 16.540178379667513, 45.651200541078666 16.571947061419834, 45.671283871634984 16.65793693735921, 45.60748444920001 16.712264246807564, 45.52353719930895 16.68050480982846))",0.0,68069.76756131626
17,85520a2ffffffff,"POLYGON ((45.671283871634984 16.65793693735921, 45.651200541078666 16.571947061419834, 45.71485916204064 16.517740406984817, 45.79853640438017 16.54942690716321, 45.81869766747581 16.635310306698983, 45.75510393597224 16.68961367143265, 45.671283871634984 16.65793693735921))",0.0,84680.30837843052
18,85520a33fffffff,"POLYGON ((45.58371631539754 16.93902291062513, 45.563629069571775 16.852812256613355, 45.62756979374722 16.798364893411954, 45.71153306891311 16.830031702158372, 45.73169903881998 16.91613580144084, 45.66782319126606 16.970679636068862, 45.58371631539754 16.93902291062513))",0.0,74851.36522490245
19,85520a37fffffff,"POLYGON ((45.73169903881998 16.91613580144084, 45.71153306891311 16.830031702158372, 45.77526760767164 16.77560780046315, 45.859102846708126 16.807191686615415, 45.879346865795604 16.893188879568395, 45.81567777820991 16.947709080882312, 45.73169903881998 16.91613580144084))",0.0,90590.69435628706
20,85520a3bfffffff,"POLYGON ((45.47953851321031 16.821062220814124, 45.459532168756674 16.73485541097803, 45.52353719930895 16.68050480982846, 45.60748444920001 16.712264246807564, 45.62756979374722 16.798364893411954, 45.563629069571775 16.852812256613355, 45.47953851321031 16.821062220814124))",0.0,61656.636432085215
21,85520a43fffffff,"POLYGON ((44.92923892389423 16.770169625815665, 44.90955532355946 16.68365275302587, 44.974238532103946 16.629333775572608, 45.05854356766168 16.661434128246174, 45.07830845873361 16.747846339041942, 45.013687204805926 16.80226285406608, 44.92923892389423 16.770169625815665))",2.0,4097.271547995105
